Hostname,SerialNumber,ServiceIP,DefaultGateway,NasIP,ComputeIP
icn401-0101-h01,DR7XCH4,10.228.0.5,10.228.0.1,10.228.64.5,10.228.128.5
icn401-0101-h02,BV3XCH4,10.228.0.6,10.228.0.1,10.228.64.6,10.228.128.6
icn401-0101-h03,DT3XCH4,10.228.0.7,10.228.0.1,10.228.64.7,10.228.128.7
icn401-0101-h04,GT3XCH4,10.228.0.8,10.228.0.1,10.228.64.8,10.228.128.8
icn401-0101-h05,6V3XCH4,10.228.0.9,10.228.0.1,10.228.64.9,10.228.128.9
icn401-0101-h06,2V3XCH4,10.228.0.10,10.228.0.1,10.228.64.10,10.228.128.10
icn401-0101-h07,HR7XCH4,10.228.0.11,10.228.0.1,10.228.64.11,10.228.128.11
icn401-0101-h08,CS3XCH4,10.228.0.12,10.228.0.1,10.228.64.12,10.228.128.12
icn401-0101-h09,BF5XCH4,10.228.0.13,10.228.0.1,10.228.64.13,10.228.128.13
icn401-0101-h10,4Z7XCH4,10.228.0.14,10.228.0.1,10.228.64.14,10.228.128.14
icn401-0101-h11,1S3XCH4,10.228.0.15,10.228.0.1,10.228.64.15,10.228.128.15
icn401-0101-h12,HS3XCH4,10.228.0.16,10.228.0.1,10.228.64.16,10.228.128.16
icn401-0102-h01,5X7XCH4,10.228.0.17,10.228.0.1,10.228.64.17,10.228.128.17
icn401-0102-h02,GT7XCH4,10.228.0.18,10.228.0.1,10.228.64.18,10.228.128.18
icn401-0102-h03,2V7XCH4,10.228.0.19,10.228.0.1,10.228.64.19,10.228.128.19
icn401-0102-h04,7S3XCH4,10.228.0.20,10.228.0.1,10.228.64.20,10.228.128.20
icn401-0102-h05,BC5XCH4,10.228.0.21,10.228.0.1,10.228.64.21,10.228.128.21
icn401-0102-h06,1D5XCH4,10.228.0.22,10.228.0.1,10.228.64.22,10.228.128.22
icn401-0102-h07,4D5XCH4,10.228.0.23,10.228.0.1,10.228.64.23,10.228.128.23
icn401-0102-h08,4F5XCH4,10.228.0.24,10.228.0.1,10.228.64.24,10.228.128.24
icn401-0102-h09,JD5XCH4,10.228.0.25,10.228.0.1,10.228.64.25,10.228.128.25
